,Comments
338,"Let all the earth do the paper, write all the forest,<br>May all the oceans, Guru's virtues should not be written<br>🙏Thanks sir because of you, today I am also a small teacher."
339,I do not understand
340,To understand life then<br>Look back<br> To live life then look ahead
341,"Only the lucky ones get both time and understanding, because often they do not understand on time and when they understand, time passes."
342,Sir cleared patwari ka exam after working hard for 3 years. Now the result has stopped.. Sir ji clear karwao for Patwari recruitment... 🙏🙏
343,Sir cleared patwari ka exam after working hard for 3 years. Now the result has stopped.. Sir ji clear karwao for Patwari recruitment... 🙏🙏
344,Sir you are amazing...
345,"Sir, please take a class of ancient India history, very strong come in practice set<br>"
346,Sir you are very great we all work so hard for millions of children God bless you sir thank you srr
347,Sir you are a teacher for us but we are our life sir you love you sir ️❤️❤️❤️❤️❤️❤️❤️❤️🙏🙏
348,"Sir you live in our heart, we like your every class."
349,"Sir, the budget that you taught last year was not taught this time, last time you had also told how much amount has been given in any initiative, but did not tell this time <br>If asked in the exam whether defense or agriculture Or <br> how much budget has been presented on health, then we will not be able to answer<br>sir please mention this too"
350,"Sir, is there an economic survey also?"
351,Sir please put his pdf
352,"Do taxes for sir, please meet."
353,Sir class was very nice.<br>You are the best teacher in the world.
354,"Sir, God bless you always,,,,, keep moving forward like this,,,,"
355,"Sir, if you work so hard for us, it is for you, the smile should not go from the lips, the tears should never come in the eyes, the dream which is not fulfilled, should not come in the eyes."
356,"Sir ji there is no one like you on youtube, i can say this with claim that no one can make like you sir you are great sir my idol is you."
357,sir i enjoyed the budget pad
358,"Sir, I have not seen a wise man like you in the whole youtube, it is the luck of us children that we got an opportunity to meet a guru like you <br>Thank you Guruji 🙏🙏"
359,sir i am from bihar
360,"Sir, this government has again talked about giving 60 lakh jobs, is it possible in this budget?"
361,Sir also chant guru mantra first thing in the morning
362,"Sir, nothing will happen to us unemployed or not, even for those who are 4 crore unemployed, no step has been taken.<br> Thank u sir 🙏🙏🙏🙏"
363,"Sir, your video takes 200+ MB to download even in 360P,<br>which is a lot.<br>The educational video of other people's channel gets downloaded in about 100 to 130MB for almost the same hours. <br>Please take note of this."
364,right said brother
365,correct
366,correct
367,"Sold seven engines, what difference will it make now?"
368,Do not leave together until the selection is done.
369,Regards Sir G.
370,"Regards, touching feet Gurudev. You teach with great enthusiasm. You get a lot of inspiration from you. I have also taught in school for 6.5 years. I am at home now. bs mehnt kr rhi hu teacher bnne k bad aap se motivate hokr aise hi students ko motivate krungi..."
371,"Simple budget. <br>The budget can be called successful only if the unemployed get employment opportunities, especially if attention is paid to the middle class.<br> But at the same time it has to be seen that the free vaccination to the population of 138 crores was done Angle the cost of one vaccine Even if 500 is considered, then 13800000000×500=6900000000000<br>In so many rupees, India would have employed lakhs of people and many state-of-the-art weapons.<br>We have to see every side.<br>Also when oil The price of electricity was low in the whole world, even then it did not decrease in India.<br> Natural energy should be promoted. Such sectors should be opened, which would have been good if people would get employment. Employment opportunities will be available only by increasing exports.<br> Daily data of internet is not necessary and it is there but what used to be available in pack 149 has become around 300 today.<br> When the country became independent then the private sector was given Public sector was created but now under Nazis everything is being converted into private sector."
372,"Who refuses to reach Sahil, but the fun of fighting the storms is something else, it is said that God writes luck,<br>But the fun of writing it by erasing it is something else..."
373,"Happy Sidiya to those who want to go up to the roof. Happy Sidiya to those who want to go up to the roof. Your destination is the sky, you have to make your own way."
374,"Happy Sidiya to those who want to go up to the roof. Happy Sidiya to those who want to go up to the roof. Your destination is the sky, you have to make your own way."
375,"Happy Sidiya to those who want to go up to the roof. Happy Sidiya to those who want to go up to the roof. Your destination is the sky, you have to make your own way."
376,"Happy Sidiya to those who want to go up to the roof. Happy Sidiya to those who want to go up to the roof. Your destination is the sky, you have to make your own way."
377,"Be a lion don't worry about the throne <br>where you sit will be the throne..<br>🇮🇳🇮🇳🇮🇳 Jai Hind,,🇮🇳🇮🇳"
378,Beautiful very beautiful Gurudev ji Very beautiful fort 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 ?
379,superhit class
380,"How powerful is the heat of the sun, which dries up all the vegetation.<br>Rivers, ponds, lakes dry up everyone. <br>But have you ever heard that the ocean dried up due to the heat of the sun.<br>This never happens.<br>Now this is the hidden invaluable lesson of life.<br>Make yourself patient like the sea and If you bring that restraint in yourself, then this sun of difficulties will not harm you.<br>That steam will come out of you and become a cloud and will cover the sun. <br>And then only success will rain.<br>Say patiently"
381,"The merchants… are explaining the science of selling the country to the blind devotees… in English… for years, everyone understood….Thump clap."
382,"The studio doesn't catch hair, why doesn't Bhonsdi wear all these masks while challans are being cut on the road."
383,Said by Swami Vivekananda
384,We are Indians not British!!!
385,"Support all of us students once for the future, Sir, I will be very grateful to you."
386,"We belong to Hindustan, our main language is Hindi, Mother, what are you saying, we have not understood anything. I am requesting this channel to dub it in Hindi."
387,"Every single thing was printed in my mind, Sir, did not expect that I would be able to understand such a complex subject like budget so easily. Thank you very much"
388,"Every game should be won, it is an adult nhi h......<br>even after losing, it is an adult 🙏🏻 love you sir ji"
389,"Every teacher has also gone through the life of a student, that is why he is able to feel the pain of the students closely, the intention of the teacher will always be that no one student should be harmed, every time the same effort has been made to help the students. The demands should reach the government in a peaceful manner<br>so 1/2"
390,"Every year the budget comes, only to increase the current affairs, every year in the budget for a job, <br> budget comes to read 20 lakh somewhere, 25 lakh will get a job, just keep reading the budget every year, oh God, now take it out. ?"
391,"A palace of cards is not built in the air, crying does not make a bad luck."
392,"A palace of cards is not built in the air,<br>Crying does not make a bad case.<br>Have the courage to win the world, O friend,<br>One victory does not make an Alexander"
393,"A palace of cards is not built in the air,<br>Crying does not make a bad case.<br>Have the courage to win the world, O friend,<br>One victory does not make an Alexander"
394,There is no budget of India.
395,Hindustan Zindabad
396,It has begun.
397,Thank you Gurudev from the bottom of the heart <br>Very best and Lallantop class <br>Dil Garden -Garden Ho Gaya💕
