,Comments
292,"I think do all of Godi media that sexy videos are with BJP people, that's why they are blackmailing them and making them dance."
293,"I think do all of Godi media that sexy videos are with BJP people, that's why they are blackmailing them and making them dance."
294,i have not got rasgulla sir ji
295,Mood refreshed brother
296,I am commenting for the first time so it is like
297,I wrote on 2 pages and put it in my wallet.
298,"I have ib acio exam on February 20, tell me brother sister best of luck."
299,"My guru ji wonderful no answer for this, thank you gurudev"
300,The fruits of hard work are definitely available.<br>Worked hard for only one hour in this class and got to eat rasgula in the last.
301,hard work brother
302,"I myself am also Krishna and myself Arjuna, fighting the Mahabharata of life by becoming my charioteer every day."
303,"I am not the rain of your luck, which will rain on you, you will have to change your destiny to get me!"
304,I will not let the country survive... I will sell the rest
305,I will not let the country survive... I will sell the rest
306,"I will not let the country be sold"" Who said?"
307,"I will not let the country be sold"" Who said?"
308,Madam ji has been there in the beginning....<br>Take out at first leisure😂😂😂
309,I have seen all your classes sir ji very nice <br>Thanks sir ji🙏
310,"Modi says that farmers sell their crops, we will sell the country"
311,"Modi says that farmers sell their crops, we will sell the country"
312,"The whole country has understood this move of Modi, we will not let the country sell anymore. Every news told on Aaj Tak is fake."
313,"The whole country has understood this move of Modi, we will not let the country sell anymore. Every news told on Aaj Tak is fake."
314,Modi's chamcha till today's country is strong
315,Modi's chamcha till today's country is strong
316,"If Modi had sold tea, it would have been right, at least today he does not sell to the country."
317,"If Modi had sold tea, it would have been right, at least today he does not sell to the country."
318,Modi chai wala said. Modi chai wala
319,Modi chai wala said. Modi chai wala
320,Modi tea stall is always open Godi Media
321,Modi tea stall is always open Godi Media
322,Modi ji had said that we will not allow the country to be sold and we ourselves sold the whole country under the guise of Corona.
323,Modi ji had said that we will not allow the country to be sold and we ourselves sold the whole country under the guise of Corona.
324,Modi has sold the country
325,Modi has sold the country
326,"Modi government, blind deaf government should do something for the farmers too, they are setting fire to garlic, do something in the interest of the farmer so that the situation of the farmers under your rule has become very bad."
327,"Modi government, blind deaf government should do something for the farmers too, they are setting fire to garlic, do something in the interest of the farmer so that the situation of the farmers under your rule has become very bad."
328,"Mobile chargers will be expensive, gold and silver and news anchors will be cheaper to buy."
329,The season of autumn has come.
330,"This is what Gubbar sir, whose tongue is not there, earlier he was giving so many speeches in the interest of the students, today he has started back the unnecessary ads."
331,or or
332,what was this
333,These pimps will also get the ass busted for media feku
334,These pimps will also get the ass busted for media feku
335,"This budget was historic, the income of farmers will be doubled from tomorrow morning itself, this budget will show a new dawn to the workers,<br>The business class will earn so much that they will not be able to count and the savings of the middle class family will increase so much that they will request the government That some money be deducted from their account."
336,"This budget was historic, the income of farmers will be doubled from tomorrow morning itself, this budget will show a new dawn to the workers,<br>The business class will earn so much that they will not be able to count and the savings of the middle class family will increase so much that they will request the government That some money be deducted from their account."
337,This is the budget serpent dance.<br>🧞🧞👯🧞🧞💃🕺💃👯
338,This government is fooling the people
339,This government is fooling the people
340,"This thinking of us humans that what a single person can do, but look at that sun alone shines."
341,Sick from Ravish Kumar ji <br>eat some of his
342,Sick from Ravish Kumar ji <br>eat some of his
343,Ram-Ram I am proud of my brother... Love you bro... Gorav bhai
344,"What has been given by rail service and airline fare, and what is the benefit of this, Congress has brought so much forward in the Sunya budget, will you do the work of selling the country, then resign, and Arnab has said, said, Deep Sidhu everyone needs to punish the guilty! It took more than two months to withdraw the farmer's law at a high speed."
345,"What has been given by rail service and airline fare, and what is the benefit of this, Congress has brought so much forward in the Sunya budget, will you do the work of selling the country, then resign, and Arnab has said, said, Deep Sidhu everyone needs to punish the guilty! It took more than two months to withdraw the farmer's law at a high speed."
346,Make a class every morning and evening sir
347,Love you sir ji <br>Thank you so much<br> Now the father-in-law's budget is fully understood.
348,Awesome session
349,Lord Mayo Zandubam
350,she godi media
351,she godi media
352,Wow sir ji you set fire to <br>what a bang entry
353,Wow Rasgulla
354,Wow sir ji !!<br>You entered like a hero of South..😂😂🙈🙈<br>Now you know why the name of this class is Tehelka..😂😂👍👍
355,"Shar 13 is the auspicious figure of Utkarsh, so my birthday is on March 13, so I also have an auspicious figure."
356,great class
357,Brilliant sir <br>gagannagar rajasthan
358,"The pattern of Shaheen Bagh did not work in the farmers movement. BJP-RSS you used to get riots to come to power, now you are getting riots done to stay in power.<br>Shame but you don't know."
359,"Education is the milk of the lioness<br>who drank<br>she<br>must roar,"
360,Thank you Guru Dev 🙏🏿🙏🏿🙏🏿🙏🙏🏿😘😘❤️❤️
361,Good night Nikki Meena ji.....
362,Good night Nainaram Saran ji.....
363,good night pawani chaudhary ji
364,Good night dear sister <b>Shikha Sharma</b> ji...😴
365,Good night Suriya Paliwal ji.....
366,good night di
367,Who likes this line by Sheikh Hasina Zulfo.
368,There is only one difference between dream and goal<br>dream requires sleep without effort<br>and goal requires effortless sleep ️ 🙏🙏🙏
369,Dreams just give peace to the mind <br> rest <br> Luck is changed only by hard work <br>...
370,hmmm toooo
371,Most useless government is good at telling lies<br>Modi himself is a big liar h brother-in-law
372,Most useless government is good at telling lies<br>Modi himself is a big liar h brother-in-law
373,"All are requested, do not abuse one by one, do not push"
374,"All are requested, do not abuse one by one, do not push"
375,Sir mppsc. ki claus lijiye
376,Sir you are becoming dreadful day by day.
377,"Sir you teach very well, say Banke Bihari Lal ki Jai"
378,Sir when is your current affairs class
379,Sir salute to your hard work love u sir
380,"Sir, thank you wholeheartedly again and again <br>sir when you go inside to speak again in the next class, then the puri comes out and the slippers disappear."
381,"Sir don't put so many ADs, ADs are coming on two minutes"
382,"Sir, it was fun in this Bhandara, we ate a lot of Rasgulla in the form of budget."
383,Sir make a batch and teach all the subjects in it yourself then see the merit will be above 100
384,Sir how to praise your words fall short really you are great sir ji love you
385,Sir ji 🙏 budget key pdf is not getting 🙏🏻
386,Sir ji thank you very much you have explained 90 page budget in 9 pages. Thanks Kumar sir ji and Rajudi team
387,"Sir, I fell asleep last night only at <a href=""https://www.youtube.com/watch?v=h87T_SfS1nM&t=7m30s"">7:30</a> so in the morning <a href= ""https://www.youtube.com/watch?v=h87T_SfS1nM&t=3m30s"">3:30</a> Speak Banke Bihari Lal Ki Jai good morning sir ji bhot majaa aaya"
388,Sir ji really created panic inside the budget
389,Sir parosi go bhayav ha bo dj bajaj😂😂😂😂😂
390,Sir put the pdf on telegram is not getting it sir
391,"Sir budget has made pickle chutney murabba, jai ho phool patti wale 🙏🏻🙏🏻"
392,"Sir do one class of budget, do two upsssc pet ke liye aur ssc gd ke liye"
393,Sir mahendra goyal sir's maths special batch launch the app in which all the exams will be destroyed
394,"Sir I could not see your class live today because I can't remember, your class is also today."
395,Sir Morarji presented the budget 8 times
396,Sir this clash you could have brought 1feb also but you knew that you will not understand so tell 2-3 important points till your 5-6 days and gave complete conclusion today your teching stile is so different <br>Again thank you rajuri team
397,Sir it is a different fun to read at night sir I have enjoyed reading
398,Sir you are really great
399,"Sir, you really work very hard, now we feel that the job is confirmed this time."
400,Sir really great presentation of budget 2021-22.
401,Sir please teach all the states also.
402,Sir we will eat tomorrow's only but will definitely eat
403,"The whole video has been sold, what will it show the truth, the traitors of this country have eaten this country, some are living in the palaces of gold, some do not even get bread for two times, this is my India"
404,"The whole video has been sold, what will it show the truth, the traitors of this country have eaten this country, some are living in the palaces of gold, some do not even get bread for two times, this is my India"
405,If all the circumstances are favorable.. then there is no fun in working hard. The fun of hard work in adverse circumstances is something else.
406,"Who refuses to reach Sahil but,<br>The fun of fighting with storms is something else,<br>It is said that God writes luck but,<br>The fun of erasing it is something else."
407,"Be a lion, don't worry about the throne<br>do where you sit on the throne<br>it will become....<br>🚨🚨GOOD NIGHT FRIENDS"
408,"Be a lion, worry about the throne, that scene will also come; <br>The sea will also come after walking to the thirsty!"
409,CEO Susan Vejsiki
410,to 6.
411,to 6.
412,"Your account is not sitting in hundred rupees, which you tell that in interest, GST, income tax, corporation"
413,The start happened like a move Ka starting.
414,Watched the whole class while hung up.
415,"We are middle class people take home and car only once in life...... unless there is any problem in our car, why should we sell it forcibly... the government has eaten their car from the car company. to sell.."
416,"We are middle class people take home and car only once in life...... unless there is any problem in our car, why should we sell it forcibly... the government has eaten their car from the car company. to sell.."
417,We were going to sleep right now sir.. but thought what would you get from sleeping.. so saw this video of yours..
418,Our head can be cut but we cannot bow down <br><br>will leave with the job
419,Our national language is Hindi <br>then why Nirmala Tai presents the budget in English<br><br>More than half of the MPs do not understand English.<br>😃😃
420,Our national language is Hindi <br>then why Nirmala Tai presents the budget in English<br><br>More than half of the MPs do not understand English.<br>😃😃
421,"Our fight is like a storm, the waves are making unnecessary noise"
422,The budget has come for us today
423,Har Har Mahadev
424,Harivansh Mehta
425,Harivansh Mehta
426,Yes
427,"Whether it is a win or a win, the competition should be of competition❣️😍❣️❣️😀😀"
428,Who has become the President of Boxing Federation of India recently?
429,"Do not lose courage, you have to go a long way."
430,Hello sir i want your writ course i have excellent any helpline number of yours 🙏🙏🙏 i am from haryana
431,Hello sir i want excellent rated course i am from haryana how can i buy this course i want rated course please someone help me 🙏🙏🙏
